mbti;name;spiller;chinese;lewi0;lewi1;lewi2;lewi3;lewi4;lewi5;lewi6;lewi7;lewi8;lewi9;lewi10;lewi11;lewi12;lewi13;lewi14;lewi15;lewi16;lewi17;lewi18;lewi19;lewi20;lewi21;lewi22;lewi23;lewi24;lewi25;lewi26;lewi27;lewi28;lewi29;lewi30;lewi31;lewi32;lewi33;lewi34;lewi35;lewi36;lewi37;lewi38;lewi39;lewi40;lewi41;lewi42;lewi43;lewi44;lewi45;lewi46;lewi47;lewi48;lewi49;lewi50;lewi51;lewi52;lewi53;lewi54;lewi55;lewi56;lewi57;lewi58;lewi59;lewi60;lewi61;lewi62;lewi63;lewi64;lewi65;lewi66;lewi67;lewi68;lewi69;lewi70;lewi71;lewi72;lewi73;lewi74;lewi75;lewi76;lewi77;lewi78;lewi79;lewi80;lewi81;lewi82;lewi83;lewi84;lewi85;lewi86;lewi87;lewi88;lewi89;lewi90;lewi91;lewi92;lewi93;lewi94;lewi95;lewi96;lewi97;lewi98;lewi99;lewi100;lewi101;lewi102;lewi103;lewi104;lewi105;lewi106;lewi107;lewi108;lewi109;lewi110;lewi111;lewi112;lewi113;lewi114;lewi115;lewi116;lewi117;lewi118;lewi119;lewi120;lewi121;lewi122;lewi123;lewi124;lewi125;lewi126;lewi127;lewi128;lewi129;lewi130;lewi131;lewi132;lewi133;lewi134;lewi135;lewi136;lewi137;lewi138;lewi139;lewi140;lewi141;lewi142;lewi143;lewi144;lewi145;lewi146;lewi147;lewi148;lewi149;lewi150;lewi151;lewi152;lewi153;lewi154;lewi155;lewi156;lewi157;lewi158;lewi159;lewi160;lewi161;lewi162;lewi163;lewi164;lewi165;lewi166;lewi167;lewi168;lewi169;lewi170;lewi171;lewi172;lewi173;lewi174;lewi175;lewi176;lewi177;lewi178;lewi179;lewi180;lewi181;lewi182;lewi183;lewi184;lewi185;lewi186;lewi187;lewi188;lewi189;lewi190;lewi191;lewi192;lewi193;lewi194;lewi195;lewi196;lewi197;lewi198;lewi199;lewi200;lewi201;lewi202;lewi203;lewi204;lewi205;lewi206;lewi207;lewi208;lewi209;lewi210;lewi211;lewi212;lewi213;lewi214;lewi215;lewi216;lewi217;lewi218;lewi219;lewi220;lewi221;lewi222;lewi223;lewi224;lewi225;lewi226;lewi227;lewi228;lewi229;lewi230;lewi231;lewi232;lewi233;lewi234;lewi235;lewi236;lewi237;lewi238;lewi239;lewi240;lewi241;lewi242;lewi243;lewi244;lewi245;lewi246;lewi247;lewi248;lewi249;lewi250;lewi251;lewi252;lewi253;lewi254;lewi255;lewi256;lewi257;lewi258;lewi259;lewi260;lewi261;lewi262;lewi263;lewi264;lewi265;lewi266;lewi267;lewi268;lewi269;lewi270;lewi271;lewi272;lewi273;lewi274;lewi275;lewi276;lewi277;M1;M2;mbti1;mbti2
ESTP;Angelina Jolie;Sagittarius;Rabbit;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;1.0;;;;;;;;1.0;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;1.0;;1.0;;;;;;;1.0;;1.0;;;;;;;;1.0;1.0;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;32;5;Ti;Se
ESTP;Meryl Streep;Aries;Ox;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;1.0;;;;;1.0;;;;;;;;;1.0;;;;1.0;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;1.0;;;;;1.0;;;;;1.0;;;;;;;;;;;;;;1.0;;;;;;;;1.0;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;1.0;;33;6;Ti;Se
ESTP;Madonna;Libra;Dog;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;1.0;;;1.0;;;;;;;;;;;;;;;;;;;1.0;;38;11;Ti;Se
ESTP;Jack Nicholson;Sagittarius;Ox;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;1.0;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;1.0;;;;1.0;;;;;;1.0;;1.0;;;;;;;;28;10;Ti;Se
ESTP;Kevin Spacey;Libra;Pig;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;1.0;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;1.0;;;;;;1.0;;39;12;Ti;Se
ESTP;Ben Affleck;Capricorn;Rat;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;1.0;;;;;;;;;;;;;1.0;;;;;;1.0;;;;;;;;;;;;;;;;;;1.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;1.0;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;1.0;;33;6;Ti;Se
ESTP;Ryan Seacrest;Sagittarius;Tiger;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;1.0;;;;;;1.0;;;;;;;;;;;;;;;;;;1.0;;;;;1.0;;;;;;;;;;;;;;;;;;1.0;;;;;;1.0;;;;;1.0;;;;;;;;;;;;;;30;3;Ti;Se
ESTP;Mila Kunis;Gemini;Pig;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;1.0;;;;;;;;;;;;;;1.0;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;1.0;;;;;;1.0;;1.0;;;;;;;1.0;;;;;;;;;;;1.0;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;1.0;;;;;;;1.0;;34;7;Ti;Se
ESTP;Amy Winehouse;Gemini;Pig;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;1.0;;35;8;Ti;Se
ESTP;Milla Jovovich;Scorpio;Rabbit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;1.0;;33;6;Ti;Se
ESTP;Anna Wintour;Aries;Ox;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;1.0;;;;;;;;;;;;;;1.0;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;1.0;;28;10;Ti;Se
ESTP;Judi Dench;Aquarius;Dog;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;1.0;1.0;;1.0;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;1.0;;;;29;11;Ti;Se
ESTP;Helen Mirren;Cancer;Rooster;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;1.0;;;;;;;;;;;;;;;;1.0;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;1.0;;;;;;;;;;;;1.0;;34;7;Ti;Se
ESTP;Glenn Close;Gemini;Pig;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;1.0;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;1.0;;;;;;1.0;;;;;;;;;;;1.0;;;;;34;7;Ti;Se
ESTP;Camilla Parker Bowles;Taurus;Pig;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;1.0;;;;;;;;;;36;9;Ti;Se
ESTP;Taylor Swift;Aquarius;Snake;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;1.0;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;1.0;;34;7;Ti;Se
ESTP;Sasha Grey;Pisces;Dragon;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;1.0;1.0;1.0;;;;;;;;;;;;;;;;;;;;;1.0;1.0;1.0;;;;1.0;1.0;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;34;7;Ti;Se
ESTP;Traci Lords;Aries;Monkey;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;1.0;;;1.0;;;;;;;;;1.0;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;1.0;;;;1.0;;36;9;Ti;Se
ESTP;Robin Thicke;Libra;Snake;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;1.0;;1.0;;;;;;;;;;;1.0;;;1.0;;;;;;;;;;1.0;;;;;;1.0;;;;;;;;;;;1.0;;;;;;1.0;;;;;;1.0;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;1.0;1.0;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;1.0;;28;10;Ti;Se
ESTP;Megan Fox;Aries;Tiger;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;1.0;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;36;9;Ti;Se
ESFP;Bill Clinton;Gemini;Dog;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;1.0;;;;;;;;;;1.0;;;;1.0;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;1.0;;1.0;;;;;;;;;;;1.0;;;;;;;;1.0;;;;;;;;;;;;;;;;;1.0;;;;;1.0;;;;;;;;;;;;;;;;;38;11;Se;Fi
ESFP;John F. Kennedy;Capricorn;Snake;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;1.0;;;;;;;1.0;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;1.0;;;;;;;;;;;;;1.0;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;34;7;Se;Fi
